year,Code,Country,Rank
2006,ITA,Italy,1
2006,FRA,France,2
2006,DEU,Germany,3
2006,PRT,Portugal,4
2006,BRA,Brazil,5
2006,ARG,Argentina,6
2006,ENG,England,7
2006,UKR,Ukraine,8
2006,ESP,Spain,9
2006,CHE,Switzerland,10
2006,NLD,Netherlands,11
2006,ECU,Ecuador,12
2006,GHA,Ghana,13
2006,SWE,Sweden,14
2006,MEX,Mexico,15
2006,AUS,Australia,16
2006,KOR,South Korea,17
2006,PRY,Paraguay,18
2006,CIV,Ivory Coast,19
2006,CZE,Czech Republic,20
2006,POL,Poland,21
2006,HRV,Croatia,22
2006,AGO,Angola,23
2006,TUN,Tunisia,24
2006,IRN,Iran,25
2006,USA,United States,26
2006,TTO,Trinidad and Tobago,27
2006,JPN,Japan,28
2006,SAU,Saudi Arabia,29
2006,TGO,Togo,30
2006,CRI,Costa Rica,31
2006,SRB,Serbia,32
2010,ESP,Spain,1
2010,NLD,Netherlands,2
2010,DEU,Germany,3
2010,URY,Uruguay,4
2010,ARG,Argentina,5
2010,BRA,Brazil,6
2010,GHA,Ghana,7
2010,PRY,Paraguay,8
2010,JPN,Japan,9
2010,CHL,Chile,10
2010,PRT,Portugal,11
2010,USA,United States,12
2010,ENG,England,13
2010,MEX,Mexico,14
2010,KOR,South Korea,15
2010,SVK,Slovakia,16
2010,CIV,Ivory Coast,17
2010,SVN,Slovenia,18
2010,CHE,Switzerland,19
2010,ZAF,South Africa,20
2010,AUS,Australia,21
2010,NZL,New Zealand,22
2010,SRB,Serbia,23
2010,DNK,Denmark,24
2010,GRC,Greece,25
2010,ITA,Italy,26
2010,NGA,Nigeria,27
2010,DZA,Algeria,28
2010,FRA,France,29
2010,HND,Honduras,30
2010,CMR,Cameroon,31
2010,PRK,North Korea,32
2014,DEU,Germany,1
2014,ARG,Argentina,2
2014,NLD,Netherlands,3
2014,BRA,Brazil,4
2014,COL,Colombia,5
2014,BEL,Belgium,6
2014,FRA,France,7
2014,CRI,Costa Rica,8
2014,CHL,Chile,9
2014,MEX,Mexico,10
2014,CHE,Switzerland,11
2014,URY,Uruguay,12
2014,GRC,Greece,13
2014,DZA,Algeria,14
2014,USA,United States,15
2014,NGA,Nigeria,16
2014,ECU,Ecuador,17
2014,PRT,Portugal,18
2014,HRV,Croatia,19
2014,BIH,Bosnia and Herzegovina,20
2014,CIV,Ivory Coast,21
2014,ITA,Italy,22
2014,ESP,Spain,23
2014,RUS,Russia,24
2014,GHA,Ghana,25
2014,ENG,England,26
2014,KOR,South Korea,27
2014,IRN,Iran,28
2014,JPN,Japan,29
2014,AUS,Australia,30
2014,HND,Honduras,31
2014,CMR,Cameroon,32
2018,FRA,France,1
2018,HRV,Croatia,2
2018,BEL,Belgium,3
2018,ENG,England,4
2018,URY,Uruguay,5
2018,BRA,Brazil,6
2018,SWE,Sweden,7
2018,RUS,Russia,8
2018,COL,Colombia,9
2018,ESP,Spain,10
2018,DNK,Denmark,11
2018,MEX,Mexico,12
2018,PRT,Portugal,13
2018,CHE,Switzerland,14
2018,JPN,Japan,15
2018,ARG,Argentina,16
2018,SEN,Senegal,17
2018,IRN,Iran,18
2018,KOR,South Korea,19
2018,PER,Peru,20
2018,NGA,Nigeria,21
2018,DEU,Germany,22
2018,SRB,Serbia,22
2018,TUN,Tunisia,24
2018,POL,Poland,25
2018,SAU,Saudi Arabia,26
2018,MAR,Morocco,27
2018,AUS,Australia,28
2018,CRI,Costa Rica,28
2018,ISL,Iceland,28
2018,EGY,Egypt,31
2018,PAN,Panama,32
